"Composer","DOB"
"Raimondo Boucheron","1800"
"André Boucourechliev","1925"
"Rutland Boughton","1878"
"Georges Boulanger","1893"
"Lili Boulanger","1883"
"Nadia Boulanger","1887"
"Joséphine Boulay","1869"
"Pierre Boulez","1925"
"Derek Bourgeois","1941"
"Louis Bourgeois","1510"
"Roger Bourland","1952"
"Jean-Baptiste Drouart de Bousset","1662"
"René Drouart de Bousset","1703"
"Josse Boutmy","1697"
"Roger Boutry","1932"
"François Bouvard","1684"
"Guillaume Bouzignac","1592"
"Fritz Bovet","1845"
"Helen Bowater","1952"
"York Bowen","1884"
"Paul Bowles","1910"
"Euday L. Bowman","1887"
"Christian Ludwig Boxberg","1670"
"William Boyce","1711"
"Anne Boyd","1946"
"Brian Boydell","1917"
"Peter Boyer","1970"
"Martin Boykan","1931"
"Ina Boyle","1889"
"Simon Boyleau","1544"
"Anne Louise Boyvin d'Hardancourt Brillon de Jouy","1744"
"Jacques Boyvin","1649"
"Eugène Bozza","1905"
"Hans Brachrogge","1590"
"Jean Braconnier","1478"
"William Brade","1560"
"D. S. Bradford","1982"
"Scott Bradley","1891"
"Edvard Fliflet Bræin","1924"
"Antonio Braga","1929"
"Antônio Francisco Braga","1868"
"Cristina Braga","1966"
"Gaetano Braga","1829"
"Joly Braga Santos","1924"
"José Bragato","1915"
"May Brahe","1884"
"Johannes Brahms","1833"
"Constantin Brăiloiu","1893"
"Thüring Bräm","1944"
"Caspar Joseph Brambach","1833"
"Glenn Branca","1948"
"Eddie Brandt","1920"
"Willi Brandt","1869"
"Jan Brandts Buys","1868"
"Gena Branscombe","1881"
"Henry Brant","1913"
"Johannes Brassart","1400"
"Louis Brassin","1840"
"Jean Daniel Braun","1728"
"Peter Michael Braun","1936"
"Yehezkel Braun","1922"
"Walter Braunfels","1882"
"Charlotte Bray","1982"
"Johannes Bernardus van Bree","1801"
"Goran Bregović","1950"
"Josefina Brdlíková","1843"
"Joseph Carl Breil","1870"
"Peter Breiner","1957"
"Jacques Brel","1929"
"Thérèse Brenet","1935"
"Bettina Brentano","1785"
"Jan Josef Ignác Brentner","1689"
"Giuseppe Antonio Brescianello","1690"
"Cesar Bresgen","1913"
"Martin Bresnick","1946"
"Tomás Bretón","1850"
"Jean-Baptiste Bréval","1753"
"Giovanni Battista Brevi","1650"
"Pierre de Bréville","1861"
"Thomas Brewer","1611"
"Havergal Brian","1876"
"Giulio Briccialdi","1818"
"Walter Bricht","1904"
"Frank Bridge","1879"
"Wolfgang Carl Briegel","1626"
"Lou Briel","1962"
"David Briggs","1943"
"Roger Briggs","1952"
"Dora Bright","1862"
"Anne Louise Boyvin d'Hardancourt Brillon de Jouy","1744"
"Antonio Brioschi","1725"
"Michael Brimer","1933"
"George Frederick Bristow","1825"
"Radie Britain","1899"
"Estêvão de Brito","1575"
"Benjamin Britten","1913"
"Frantisek Brixi","1732"
"Šimon Brixi","1693"
"Maria Brizzi Giorgi","1775"
"Gabriel Brnčić","1942"
"Brenton Broadstock","1952"
"Robert Broberg","1940"
"Howard Brockway","1870"
"Henri Brod","1799"
"Oswald Brodin","1914"
"Roslyn Brogue","1919"
"Natanael Broman","1887"
"Sten Broman","1902"
"Gerhard Bronner","1922"
"Big Bill Broonzy","1903"
"Ingeborg von Bronsart","1840"
"Riccardo Broschi","1698"
"Sébastien de Brossard","1655"
"Bruce Broughton","1945"
"Leo Brouwer","1939"
"Margaret Brouwer","1940"
"Earle Brown","1926"
"James Francis Brown","1969"
"Nacio Herb Brown","1896"
"Augusta Browne","1820"
"Harriet Browne","1790"
"John Browne","1480"
"Dave Brubeck","1920"
"Rudolf Brucci","1917"
"David Bruce","1970"
"Max Bruch","1838"
"Arnold von Bruck","1500"
"Gerard von Brucken Fock","1859"
"Anton Bruckner","1824"
"Joan Brudieu","1520"
"Nicolaus Bruhns","1665"
"Theo Bruins","1929"
"Colin Brumby","1933"
"Antoine Brumel","1460"
"Albert E. Brumley","1905"
"Fritz Brun","1878"
"Herbert Brün","1918"
"Klaus Bruengel","1949"
"Pablo Bruna","1611"
"Arnold Brunckhorst","1670"
"Alfred Bruneau","1857"
"Antonio Brunelli","1577"
"Gaetano Brunetti","1744"
"Karl Gottfried Brunotte","1958"
"Victor Bruns","1904"
"Elisabetta Brusa","1954"
"Bjarne Brustad","1895"
"Peter Bruun","1968"
"Joanna Bruzdowicz","1943"
"Steven Bryant","1972"
"Gavin Bryars","1943"
"Filipina Brzezinska-Szymanowska","1800"
"Mark Bucci","1924"
"Dorothy Quita Buchanan","1945"
"Wolfram Buchenberg","1962"
"Hans Buchner","1483"
"Philipp Friedrich Buchner","1614"
"Dudley Buck","1839"
"Ole Buck","1945"
"Boudewijn Buckinx","1945"
"John Buckley","1951"
"Olivia Buckley","1979"
"Harold Budd","1936"
"Margaret Buechner","1922"
"Eivind Buene","1973"
"Pierre-Gabriel Buffardin","1690"
"Glenn Buhr","1954"
"John Bull","1562"
"Ole Bull","1810"
"Alan Bullard","1947"
"Nini Bulterijs","1929"
"Kenji Bunch","1973"
"August Bungert","1845"
"Benedictus Buns","1642"
"Giovanni Battista Buonamente","1595"
"Johann Friedrich Franz Burgmüller","1806"
"Norbert Burgmüller","1810"
"Geoffrey Burgon","1941"
"Mutal Burhonov","1916"
"Sonny Burke","1914"
"Paul Burkhard","1911"
"Willy Burkhard","1900"
"Harry Burleigh","1866"
"Rahul Dev Burman","1939"
"Sachin Dev Burman","1906"
"Charles Burney","1726"
"Diana Burrell","1948"
"Alfred Burt","1920"
"Canary Lee Burton","1942"
"Alan Bush","1900"
"Adolf Busch","1891"
"Geoffrey Bush","1920"
"Alejandro Busi","1833"
"Giuseppe Busi","1808"
"Antoine Busnois","1430"
"Ferruccio Busoni","1866"
"Howard J. Buss","1951"
"Henri Büsser","1872"
"Sylvano Bussotti","1931"
"Fernando Bustamante","1915"
"Pieter Bustijn","1649"
"Thomas O'Brien Butler","1861"
"Nigel Butterley","1935"
"Arthur Butterworth","1923"
"George Butterworth","1885"
"Johann Heinrich Buttstett","1666"
"Jacques Buus","1500"
"Dieterich Buxtehude","1637"
"Arturo Buzzi-Peccia","1854"
"Antonio Buzzolla","1815"
"William Byrd","1540"
"Don Byron","1958"
"Britta Byström","1977"
"Byttering","1410"
"Gayane C'ebotaryan","1918"
"Roberto Caamaño","1923"
"Manuel Fernández Caballero","1835"
"Juan Cabanilles","1644"
"Antonio de Cabezón","1510"
"Hernando de Cabezón","1541"
"Facundo Cabral","1937"
"Francesca Caccini","1587"
"Giulio Caccini","1551"
"Settimia Caccini","1591"
"Pierre Cadéac","1538"
"Charles Wakefield Cadman","1881"
"Pasquale Cafaro","1715"
"John Cage","1912"
"Antonio Cagnoni","1828"
"Gioseppe Caimo","1545"
"Louis de Caix d'Hervelois","1670"
"Raffaele Calace","1863"
"Geneviève Calame","1946"
"Antonio Caldara","1671"
"Fulvio Caldini","1959"
"Antonio Calegari","1757"
"Maria Cattarina Calegari","1644"
"Francisco Calés Pina","1886"
"John Baptiste Calkin","1827"
"Joseph Callaerts","1838"
"Rafael Calleja Gómez","1870"
"Lluís Callejo","1930"
"Sethus Calvisius","1556"
"Robert Cambert","1628"
"Giuseppe Cambini","1746"
"John Cameron","1944"
"Charles Camilleri","1931"
"Michel Camilo","1954"
"Bartolomeo Campagnoli","1751"
"Fabio Campana","1819"
"Alexander Campbell","1764"
"Louis Campbell-Tipton","1877"
"François van Campenhout","1779"
"Thomas Campion","1567"
"Carlo Antonio Campioni","1720"
"Conrado del Campo","1878"
"André Campra","1660"
"Francisco Canaro","1888"
"Edith Canat de Chizy","1950"
"Amélie-Julie Candeille","1767"
"Cornelius Canis de Hondt","1500"
"Christian Cannabich","1731"
"Enrico Cannio","1874"
"Joseph Canteloube","1879"
"Philippe Capdenat","1934"
"Pierre Capdevielle","1906"
"Vincenzo Capirola","1474"
"André Caplet","1878"
"Samuel Capricornus","1628"
"Antonio Capuzzi","1755"
"Marchetto Cara","1465"
"Michele Carafa","1787"
"Matteo Carcassi","1792"
"Cornelius Cardew","1936"
"Manuel Cardoso","1566"
"Cristoforo Caresana","1640"
"Henry Carey","1687"
"Giacomo Carissimi","1605"
"Robert Carl","1954"
"Bruce Carlson","1944"
"Mark Carlson","1952"
"Hoagy Carmichael","1899"
"John Carmichael","1930"
"Roberto Carnevale","1966"
"Ramon Carnicer","1789"
"Julio de Caro","1899"
"Turlough Carolan","1670"
"Firminus Caron","1460"
"Fabritio Caroso","1527"
"John Alden Carpenter","1876"
"Carpentras Elzéar Genet","1470"
"Benjamin Carr","1768"
"Edwin Carr","1926"
"António Carreira","1551"
"James P. Carrell","1787"
"Teresa Carreño","1853"
"Julián Carrillo","1875"
"Antonio Casimir Cartellieri","1772"
"Andrew Carter","1939"
"Elliott Carter","1908"
"Ferdinando Carulli","1770"
"João de Sousa Carvalho","1745"
"Robert Carver","1484"
"Doreen Carwithen","1922"
"Tristram Cary","1925"
"Benet Casablancas","1956"
"Henri Casadesus","1879"
"Marius Casadesus","1892"
"Robert Casadesus","1899"
"Robert-Guillaume Casadesus","1878"
"Romeo Cascarino","1922"
"Alfredo Casella","1883"
"Philip Cashian","1963"
"John Casken","1949"
"Gaspar Cassadó","1897"
"Bellerofonte Castaldi","1581"
"Luigi Castellacci","1797"
"Rafael Antonio Castellanos","1725"
"Dario Castello","1590"
"Mario Castelnuovo-Tedesco","1895"
"Niccolò Castiglioni","1932"
"Alexis de Castillon","1838"
"Samuel Castriota","1885"
"Juan José Castro","1895"
"Maddalena Casulana","1544"
"Alfredo Catalani","1854"
"Daniel Catán","1949"
"Diomedes Cato","1560"
"Georgy Catoire","1861"
"Eduard Caudella","1841"
"Emilio de' Cavalieri","1550"
"Francesco Cavalli","1602"
"Girolamo Cavazzoni","1525"
"Maurizio Cazzati","1616"
"Rodrigo de Ceballos","1525"
"Carlo Cecere","1706"
"Levi Celerio","1910"
"Francesco Cellavenia","1538"
"Joan Cererols","1618"
"Bohuslav Matěj Černohorský","1684"
"Pierre Certon","1529"
"Ignacio Cervantes","1847"
"Giacobbe Cervetto","1682"
"Giovanni Martino Cesare","1590"
"Johannes Cesaris","1406"
"Sulpitia Cesis","1577"
"Antonio Cesti","1623"
"Emmanuel Chabrier","1841"
"George Whitefield Chadwick","1854"
"Ippolito Chamaterò","1535"
"Cécile Chaminade","1857"
"Claude Champagne","1891"
"Jacques Champion de Chambonnières","1601"
"Nicolas Champion","1475"
"Gustave Charpentier","1860"
"Marc-Antoine Charpentier","1643"
"Abram Chasins","1903"
"Stephen Chatman","1950"
"Lambert Chaumont","1635"
"Ernest Chausson","1855"
"Carlos Chávez","1899"
"Charles Chaynes","1925"
"Nicolas Chédeville","1705"
"Fortunato Chelleri","1690"
"Xiaoyong Chen","1955"
"Chen Yi","1953"
"Ch'eng Mao-yün","1900"
"Yury Chernavsky","1947"
"Luigi Cherubini","1760"
"Pavel Chesnokov","1877"
"Paul Chihara","1938"
"Thomas Chilcot","1707"
"Bob Chilcott","1955"
"William Child","1606"
"Unsuk Chin","1961"
"Edmund Chipp","1823"
"Erik Chisholm","1904"
"Gian Paolo Chiti","1939"
"Frédéric Chopin","1810"
"Hedwige Chrétien","1859"
"Henning Christiansen","1932"
"Jani Christou","1926"
"Andreas Chyliński","1590"
"Cesare Ciardi","1818"
"Mikalojus Konstantinas Čiurlionis","1875"
"Johannes Ciconia","1370"
"Ippolito Ciera","1546"
"Antonio Cifra","1584"
"Francesco Cilea","1866"
"Giovanni Paolo Cima","1570"
"Domenico Cimarosa","1749"
"Domenico Cimoso","1780"
"Milo Cipra","1906"
"Giovanni Battista Cirri","1724"
"Avery Claflin","1898"
"Philip Greeley Clapp","1888"
"Giovanni Carlo Maria Clari","1677"
"Jeremiah Clarke","1674"
"Kenny Clarke","1914"
"Rebecca Helferich Clarke","1886"
"Johnny Clegg","1953"
"Jacob Clemens non Papa","1510"
"Aldo Clementi","1925"
"Muzio Clementi","1752"
"Louis-Nicolas Clérambault","1676"
"Pierre Clereau","1539"
"Nycasius de Clibano","1457"
"Jheronimus de Clibano","1459"
"Frederic Cliffe","1857"
"Albert Coates","1882"
"Eric Coates","1886"
"Gloria Coates","1938"
"Gioacchino Cocchi","1720"
"Carlo Coccia","1782"
"Julian Cochran","1974"
"Adrianus Petit Coclico","1499"
"Martín Codax","1240"
"Manuel Rodrigues Coelho","1555"
"Louis Coerne","1870"
"Robert Cogan","1930"
"George M. Cohan","1878"
"James Cohn","1928"
"Gautier de Coincy","1177"
"Cy Coleman","1929"
"Valerie Coleman","1970"
"Avril Coleridge-Taylor","1903"
"Samuel Coleridge-Taylor","1875"
"Cecil Coles","1888"
"François Colin de Blamont","1690"
"Lelio Colista","1629"
"Pascal Collasse","1649"
"Lawrance Collingwood","1887"
"Edward Joseph Collins","1886"
"Giovanni Paolo Colonna","1637"
"Russ Columbo","1908"
"Joan Baptista Comes","1568"
"Loyset Compère","1445"
"Graziella Concas","1970"
"Edward T. Cone","1917"
"Giovanni Battista Conforti","1550"
"Zez Confrey","1895"
"Justin Connolly","1933"
"August Conradi","1821"
"Marius Constant","1925"
"Paul Constantinescu","1909"
"Sylvia Constantinidis","1962"
"David Conte","1955"
"Francesco Bartolomeo Conti","1681"
"Salvador Contreras","1910"
"Charles Crozat Converse","1832"
"Frederick Converse","1871"
"Girolamo Conversi","1572"
"Will Marion Cook","1869"
"Arnold Cooke","1906"
"Benjamin Cooke","1734"
"David Cope","1941"
"Aaron Copland","1900"
"Carmine Coppola","1910"
"John Coprario","1575"
"William Corbett","1680"
"Sidney Corbett","1960"
"Francesco Corbetta","1615"
"Frederick Corder","1852"
"Baude Cordier","1400"
"Arcangelo Corelli","1653"
"Azio Corghi","1937"
"Miguel Ángel Coria","1937"
"John Corigliano","1938"
"Juan Cornago","1400"
"Peter Cornelius","1824"
"Peeter Cornet","1570"
"William Cornysh","1465"
"Ronald Corp","1951"
"Francisco Correa de Arauxo","1584"
"Manuel Correia","1600"
"Gaspard Corrette","1670"
"Michel Corrette","1707"
"Francesco Corteccia","1502"
"Ramiro Cortés","1933"
"Napoléon Coste","1805"
"Guillaume Costeley","1530"
"Elvis Costello","1954"
"Phil Coulter","1942"
"Armand-Louis Couperin","1727"
"François Couperin","1668"
"Louis Couperin","1626"
"Jean Courtois","1545"
"Joachim Thibault de Courville","1567"
"Noël Coward","1899"
"Henry Cowell","1897"
"Frederic Hymen Cowen","1852"
"Chiara Margarita Cozzolani","1602"
"Franz Cramer","1772"
"Johann Baptist Cramer","1771"
"Wilhelm Cramer","1746"
"Jean Cras","1879"
"John Craton","1953"
"Ruth Crawford Seeger","1901"
"Thomas Crecquillon","1505"
"Noah Creshevsky","1945"
"Lyell Cresswell","1944"
"Paul Creston","1906"
"Henri-Jacques de Croes","1705"
"William Croft","1678"
"William Crotch","1775"
"Johann Crüger","1598"
"David Crumb","1962"
"George Crumb","1929"
"Bernhard Crusell","1775"
"César Cui","1835"
"Conrad Cummings","1948"
"Alvin Curran","1938"
"Sebastian Currier","1959"
"Joe Cutler","1968"
"Chaya Czernowin","1957"
"Carl Czerny","1791"
"Holger Czukay","1938"
"Harry Dacre","1860"
"Ingolf Dahl","1912"
"Nicolas Dalayrac","1753"
"Marc-André Dalbavie","1961"
"Nancy Dalberg","1881"
"Lucio Dalla","1943"
"Evaristo Felice Dall'Abaco","1675"
"Luigi Dallapiccola","1904"
"Burkhard Dallwitz","1959"
"Joan Ambrosio Dalza","1508"
"Jean-Michel Damase","1928"
"Didier van Damme","1929"
"Walter Damrosch","1862"
"Ghiselin Danckerts","1510"
"Charles Dancla","1817"
"Georges Dandelot","1895"
"Jean-François Dandrieu","1682"
"Daniel Danielis","1635"
"Richard Danielpour","1956"
"Alexandre Danilevsky","1957"
"Hart Pease Danks","1834"
"John Dankworth","1927"
"Franz Danzi","1763"
"Louis-Claude Daquin","1763"
"Alexander Dargomyzhsky","1813"
"Michael Daugherty","1954"
"Louis François Dauprat","1781"
"Antoine Dauvergne","1713"
"Félicien-César David","1810"
"Ferdinand David","1810"
"Johann Nepomuk David","1895"
"Padre Davide da Bergamo","1791"
"Neil Davidge","1962"
"Mario Davidovsky","1934"
"Hugh Davies","1943"
"Peter Maxwell Davies","1934"
"Walford Davies","1869"
"Carl Davis","1936"
"Don Davis","1957"
"Ananias Davisson","1780"
"Richard Davy","1465"
"Karl Davydov","1838"
"Julian Dawes","1942"
"Arthur De Greef","1862"
"Reginald De Koven","1859"
"Jon Deak","1943"
"Claude Debussy","1862"
"Michel Decoust","1936"
"Edmond Dédé","1827"
"Elliot Del Borgo","1938"
"David Del Tredici","1937"
"Michel Richard Delalande","1657"
"Philibert Delavigne","1690"
"Claire Delbos","1906"
"Lex van Delden","1919"
"Léo Delibes","1836"
"Frederick Delius","1862"
"Azzolino Bernardino della Ciaja","1671"
"Michielina della Pietà","1701"
"Norman Dello Joio","1913"
"Giuseppe Demachi","1732"
"Christoph Demantius","1567"
"Jeanne Demessieux","1921"
"Nickitas J. Demos","1962"
"Jörg Demus","1928"
"Pietro Denis","1720"
"William Denis Browne","1888"
"Edison Denisov","1929"
"Fabrizio Dentice","1539"
"Scipione Dentice","1560"
"Luigi Denza","1846"
"Mary Dering","1629"
"Richard Dering","1580"
"Fabrizio De Rossi Re","1960"
"Victor De Sabata","1892"
"Alfred Desenclos","1912"
"Henri Desmarest","1661"
"Alexandre Desplat","1961"
"Paul Dessau","1894"
"Josef Dessauer","1798"
"André Cardinal Destouches","1672"
"Max Deutsch","1892"
"François Devienne","1759"
"Frédéric Devreese","1929"
"James Di Pasquale","1941"
"Salvatore Di Vittorio","1967"
"Anton Diabelli","1781"
"David Diamond","1915"
"Alphons Diepenbrock","1862"
"Bernard van Dieren","1887"
"Albert Christoph Dies","1755"
"Albert Dietrich","1829"
"Charles Dieupart","1670"
"Rudi Martinus van Dijk","1932"
"Muttusvami Dikshitar","1775"
"Steffi Diliberto","1980"
"James Dillon","1950"
"Lawrence Dillon","1959"
"Violeta Dinescu","1953"
"Grigoras Dinicu","1889"
"Paul Dirmeikis","1954"
"Girolamo Diruta","1554"
"Hugo Distler","1908"
"Carl Ditters von Dittersdorf","1739"
"Antonius Divitis","1470"
"Steve Dobrogosz","1956"
"Ignacy Feliks Dobrzyński","1807"
"Stephen Dodgson","1924"
"Friedhelm Döhl","1936"
"Theodor Döhler","1814"
"Ernő Dohnányi","1877"
"Janez Krstnik Dolar","1620"
"Joe Dolce","1947"
"Johann Friedrich Doles","1715"
"Charles Dollé","1735"
"Petrus de Domarto","1445"
"František Domažlický","1913"
"Carlo Domeniconi","1947"
"Jakob van Domselaer","1890"
"Pino Donaggio","1941"
"Ignazio Donati","1575"
"Baldassare Donato","1529"
"Franco Donatoni","1927"
"Stefano Donaudy","1879"
"Gaetano Donizetti","1797"
"Jakob Dont","1815"
"Cornelis Dopper","1870"
"Árpád Doppler","1857"
"Franz Doppler","1821"
"Karl Doppler","1825"
"Nicolao Dorati","1513"
"Gustave Doret","1866"
"Daniel Dorff","1956"
"Avner Dorman","1975"
"Louis-Antoine Dornel","1685"
"Nico Dostal","1895"
"Friedrich Dotzauer","1783"
"Celius Dougherty","1902"
"James Douglas","1932"
"Roy Douglas","1907"
"John Thomas Douglass","1847"
"Victor Dourlen","1780"
"John Dowland","1563"
"Robert Dowland","1591"
"John W. Downey","1927"
"Patrick Doyle","1953"
"Felix Draeseke","1835"
"George Draga","1835"
"Antonio Draghi","1634"
"Giovanni Battista Draghi","1640"
"Domenico Dragonetti","1763"
"Giovanni Dragoni","1540"
"Ervin Drake","1919"
"Deborah Drattell","1956"
"Sem Dresden","1881"
"Adam Drese","1620"
"Johann Samuel Drese","1644"
"Johann Wilhelm Drese","1677"
"Paul Dresher","1951"
"Erwin Dressel","1909"
"Cornelius Heinrich Dretzel","1697"
"Alexander Dreyschock","1818"
"Felix Dreyschock","1860"
"Riccardo Drigo","1846"
"Madeleine Dring","1923"
"Jacob Druckman","1928"
"Georg Druschetzky","1745"
"Du Mingxin","1928"
"Alexandra du Bois","1981"
"Eustache Du Caurroy","1549"
"Henri Dumont","1610"
"Jean Baptiste Édouard Du Puy","1770"
"John W. Duarte","1919"
"Leonora Duarte","1610"
"Andreas Düben","1597"
"Gustav Düben","1628"
"Pierre Max Dubois","1930"
"Théodore Dubois","1837"
"William Duckworth","1943"
"Jörg Duda","1968"
"François Dufault","1604"
"Guillaume Dufay","1397"
"Arthur Duff","1899"
"Paul Dukas","1865"
"John Woods Duke","1899"
"Vernon Duke","1903"
"Friedrich Dülon","1768"
"Pierre Dumage","1674"
"Isaak Dunayevsky","1900"
"Thomas Dunhill","1877"
"Egidio Duni","1708"
"John Dunstaple","1390"
"Henri Duparc","1848"
"Jacques Duphly","1715"
"Jean-Louis Duport","1749"
"Marcel Dupré","1886"
"Albert Dupuis","1877"
"Sylvain Dupuis","1856"
"Francesco Durante","1684"
"Louis Durey","1888"
"Sebastián Durón","1660"
"Lucien Durosoir","1878"
"Maurice Duruflé","1902"
"Pascal Dusapin","1955"
"František Xaver Dušek","1731"
"Jan Ladislav Dussek","1760"
"Sophia Dussek","1775"
"Henri Dutilleux","1916"
"Balys Dvarionas","1904"
"Antonín Dvořák","1841"
"George Dyson","1883"
"Damodar Raao","1977"
"Brian Easdale","1909"
"Michael East","1580"
"John Eaton","1935"
"Johann Georg Ebeling","1637"
"Petr Eben","1929"
"Dennis Eberhard","1943"
"Anton Eberl","1765"
"Johann Ernst Eberlin","1702"
"Guglielmo Ebreo da Pesaro","1420"
"Henry Eccles","1670"
"John Eccles","1668"
"Johann Gottfried Eckard","1735"
"Sophie Carmen Eckhardt-Gramatté","1901"
"Jean-Frédéric Edelmann","1749"
"Lotten Edholm","1839"
"Lars Edlund","1922"
"Ross Edwards","1943"
"Cecil Effinger","1914"
"Klaus Egge","1906"
"Joachim Nicolas Eggert","1779"
"Werner Egk","1901"
"Margriet Ehlen","1943"
"Heinrich Ehrlich","1822"
"Henry Eichheim","1870"
"Ernst Eichner","1740"
"Ludovico Einaudi","1955"
"Gottfried von Einem","1918"
"Hanns Eisler","1898"
"Danny Elfman","1953"
"Edward Elgar","1857"
"Anders Eliasson","1947"
"Dror Elimelech","1956"
"Duchess Elisabeth Sophie of Mecklenburg","1613"
"Heino Eller","1887"
"Rosalind Ellicott","1857"
"Don Ellis","1934"
"Eloy d'Amerval","1455"
"Jean-Claude Éloy","1938"
"Mohamed El Qasabgi","1892"
"Luther Orlando Emerson","1820"
"Maurice Emmanuel","1862"
"Simon Emmerson","1950"
"Juan del Encina","1468"
"George Enescu","1881"
"Einar Englund","1916"
"August Enna","1859"
"Péter Eötvös","1944"
"Donald Erb","1927"
"Christian Erbach","1568"
"Heimo Erbse","1924"
"Eduard Erdmann","1896"
"Robert Erickson","1917"
"Carsten Bo Eriksen","1973"
"Ferenc Erkel","1810"
"Ulvi Cemal Erkin","1906"
"Frédéric Alfred d'Erlanger","1868"
"Philipp Heinrich Erlebach","1657"
"Gustav Ernesaks","1908"
"Heinrich Wilhelm Ernst","1812"
"Iván Erőd","1936"
"Pasquale Errichelli","1730"
"Thomas Erskine","1732"
"Thierry Escaich","1965"
"Pedro de Escobar","1465"
"Bartolomé de Escobedo","1505"
"Pozzi Escot","1933"
"Rudolf George Escher","1912"
"Andrei Eshpai","1925"
"Karlheinz Essl","1960"
"João Rodrigues Esteves","1700"
"Paschal de l'Estocart","1539"
"Julio Estrada","1943"
"Alvin Etler","1913"
"Franco Evangelisti","1926"
"Ralph Evans","1953"
"Victor Ewald","1860"
"Eric Ewazen","1954"
"Joseph Leopold Eybler","1765"
"Jacob van Eyck","1590"
"Ernest van der Eyken","1913"
"Martinus Fabri","1395"
"Giacomo Facco","1676"
"Michelangelo Faggioli","1666"
"Nicola Fago","1677"
"Blair Fairchild","1877"
"Mohammed Fairouz","1985"
"Richard Faith","1926"
"Rolande Falcinelli","1920"
"Adam Falckenhagen","1697"
"Michele Falco","1688"
"Andrea Falconieri","1585"
"Leo Fall","1873"
"Manuel de Falla","1876"
"Michelangelo Falvetti","1642"
"Guido Alberto Fano","1875"
"Philip Michael Faraday","1875"
"Giuseppe Farinelli","1769"
"Ferenc Farkas","1905"
"John Farmer","1570"
"Giles Farnaby","1565"
"Gareth Farr","1968"
"Ernest Farrar","1885"
"Ciarán Farrell","1969"
"Louise Farrenc","1804"
"Arthur Farwell","1872"
"Giovanni Battista Fasolo","1598"
"Carl Friedrich Christian Fasch","1736"
"Johann Friedrich Fasch","1688"
"Guillaume Faugues","1460"
"Sanford Faulkner","1806"
"Gabriel Fauré","1845"
"Robert Fayrfax","1464"
"Reinhard Febel","1952"
"Johannes Fedé","1415"
"Samuil Feinberg","1890"
"Jindřich Feld","1925"
"Morton Feldman","1926"
"Eric Fenby","1906"
"Philippe Fénelon","1952"
"George Fenton","1950"
"Francesco Feo","1691"
"Prince Louis Ferdinand of Prussia","1772"
"Ferdinand III","1608"
"Howard Ferguson","1908"
"Frank Ferko","1950"
"Giuseppe Ferlendis","1755"
"Gaspar Fernandes","1566"
"Oscar Lorenzo Fernández","1897"
"Brian Ferneyhough","1943"
"John Fernström","1897"
"Alfonso Ferrabosco the elder","1543"
"Alfonso Ferrabosco the younger","1570"
"Domenico Ferrabosco","1513"
"Benedetto Ferrari","1603"
"Gabrielle Ferrari","1851"
"Giacomo Gotifredo Ferrari","1763"
"Luc Ferrari","1929"
"Lorenzo Ferrero","1951"
"Giovanni Ferretti","1540"
"Pierre-Octave Ferroud","1900"
"Frederic Ernest Fesca","1789"
"Willem de Fesch","1687"
"Costanzo Festa","1485"
"Sebastiano Festa","1490"
"Michael Christian Festing","1705"
"Richard Festinger","1948"
"François-Joseph Fétis","1784"
"Antoine de Févin","1470"
"Robert de Févin","1500"
"Pierre Février","1696"
"Josef Fiala","1748"
"Zdeněk Fibich","1850"
"Jacobo Ficher","1896"
"John Field","1782"
"Alexander von Fielitz","1860"
"Giulio Fiesco","1550"
"Siegfried Fietz","1946"
"Juan de Dios Filiberto","1885"
"Arkady Filippenko","1912"
"Henry Fillmore","1881"
"Anton Fils","1733"
"Heinrich Finck","1444"
"Hermann Finck","1527"
"Irving Fine","1914"
"Vivian Fine","1913"
"Gottfried Finger","1660"
"Ross Lee Finney","1906"
"Michael Finnissy","1946"
"Aldo Finzi","1897"
"Gerald Finzi","1901"
"Jean-Joseph Fiocco","1686"
"Joseph-Hector Fiocco","1703"
"Pietro Antonio Fiocco","1654"
"Valentino Fioravanti","1764"
"Nicola Fiorenza","1700"
"Federigo Fiorillo","1755"
"Paolo da Firenze","1355"
"Elena Firsova","1950"
"Craig First","1960"
"Johann Fischer","1646"
"Johann Caspar Ferdinand Fischer","1656"
"Domenico Fischietti","1725"
"Emmanuel Fisher","1921"
"William Arms Fisher","1861"
"Graham Fitkin","1963"
"Nicolas Flagello","1928"
"Mateo Flecha","1481"
"Étienne-Joseph Floquet","1748"
"Pietro Floridia","1860"
"Friedrich von Flotow","1812"
"Carlisle Floyd","1926"
"David Flynn","1977"
"Carel Anton Fodor","1768"
"Josef Bohuslav Foerster","1859"
"Francesco Foggia","1603"
"Giacomo Fogliano","1468"
"Yevstigney Fomin","1761"
"Pierre Fontaine","1380"
"Giovanni Battista Fontana","1571"
"Alfonso Fontanelli","1557"
"Jacqueline Fontyn","1930"
"Martin Fondse","1967"
"Arthur Foote","1853"
"Johann Nikolaus Forkel","1749"
"Thomas Ford","1580"
"Carlo Forlivesi","1971"
"Antoine Forqueray","1671"
"Jean-Baptiste Forqueray","1699"
"Nicolas Formé","1567"
"Emanuel Aloys Förster","1748"
"Georg Forster","1510"
"Kaspar Förster","1616"
"Cecil Forsyth","1870"
"Malcolm Forsyth","1936"
"W. O. Forsyth","1859"
