"Composer","DOB"
"Juan de Anchieta","1462"
"Solange Ancona","1943"
"Laura Andel","1968"
"Gwyneth Van Anden Walker","1947"
"Avril Anderson","1953"
"Beth Anderson","1950"
"Johann Andreas Amon","1763"
"Fritz Andersen","1829"
"Joachim Andersen","1847"
"Julian Anderson","1967"
"Laurie Anderson","1947"
"Leroy Anderson","1908"
"T. J. Anderson","1928"
"Tom Anderson","1910"
"Rafael Andia","1942"
"Ruth Anderson","1928"
"Johann André","1741"
"Elfrida Andrée","1841"
"Kerry Andrew","1978"
"Johann Anton André","1775"
"Andrea da Firenze","1415"
"Elfrida Andrée","1841"
"Andrew of Crete","650"
"Iosif Andriasov","1933"
"Hendrik Andriessen","1892"
"Jurriaan Andriessen","1925"
"Louis Andriessen","1939"
"Willem Andriessen","1887"
"José Escolástico Andrino","1817"
"Peter Androsch","1963"
"Felice Anerio","1560"
"Giovanni Francesco Anerio","1567"
"Pasquale Anfossi","1727"
"Nuccio D'Angelo","1955"
"Gasparo Angiolini","1731"
"Jean-Henri d'Anglebert","1629"
"Giovanni Animuccia","1520"
"Princess Anna Amalia of Prussia","1723"
"Duchess Anna Amalia of Brunswick-Wolfenbüttel","1739"
"Lucia Contini Anselmi","1876"
"Caroline Ansink","1959"
"Conrad Ansorge","1862"
"Elizabeth Anspach","1750"
"John Antes","1740"
"George Antheil","1900"
"Andrea Antico","1480"
"John Antill","1904"
"Antonello da Caserta","1400"
"Antonio da Cividale","1392"
"Antonio José","1902"
"Theodore Antoniou","1935"
"Giovanni D'Anzi","1906"
"Yoshino Aoki","1971"
"David August von Apell","1754"
"Georges Aperghis","1945"
"Aphex Twin","1971"
"Denis ApIvor","1916"
"Giuseppe Apolloni","1822"
"Hans Erich Apostel","1901"
"Dina Appeldoorn","1884"
"Benedictus Appenzeller","1480"
"Adelaide Orsola Appignani","1807"
"Louis Applebaum","1918"
"Thomas Appleby","1488"
"Mary Jeanne van Appledorn","1927"
"Francesco Araja","1709"
"Jesús Arámbarri","1902"
"Pedro Aranaz","1742"
"Juan Arañés","1649"
"Juan de Araujo","1646"
"Izabella Arazova","1936"
"Jean-Baptiste Arban","1825"
"Chaya Arbel","1921"
"Jacques Arcadelt","1507"
"Julián Arcas","1832"
"Frederic Archer","1838"
"Malcolm Archer","1952"
"Violet Archer","1913"
"José Ardévol","1911"
"Luigi Arditi","1822"
"Sven Arefeldt","1908"
"Bülent Arel","1919"
"Anton Arensky","1861"
"Paolo Aretino","1508"
"Isabel Aretz","1913"
"Dominick Argento","1927"
"Anneli Arho","1951"
"Attilio Ariosti","1666"
"Rodolfo Arízaga","1926"
"Cecilia Arizti","1856"
"Marian Arkwright","1863"
"Albert Arlen","1905"
"Harold Arlen","1905"
"Jacque Armand","1892"
"Pietro Armanini","1844"
"Elinor Armer","1939"
"Andreas Armsdorff","1670"
"Gheorghi Arnaoudov","1957"
"Leo Arnaud","1904"
"Desi Arnaz","1917"
"Michael Arne","1740"
"Thomas Arne","1710"
"Richard Arnell","1917"
"Blaž Arnič","1901"
"Malcolm Arnold","1921"
"Samuel Arnold","1740"
"Yuri Karlovich Arnold","1811"
"Robert Sterling Arnold","1905"
"Juan Crisóstomo Arriaga","1806"
"Emilio Arrieta","1823"
"Claude Arrieu","1903"
"Nikolai Artsybushev","1858"
"Giovanni Artusi","1540"
"Vyacheslav Artyomov","1940"
"Alexander Arutiunian","1920"
"Elena Asachi","1789"
"Boris Asafyev","1884"
"Joseph Ascher","1829"
"Leo Ascher","1880"
"Vicente Asencio","1908"
"Thomas Ashwell","1478"
"Robert Ashley","1930"
"Nils Henrik Asheim","1960"
"Daniel Asia","1953"
"Gianmatteo Asola","1532"
"Franz Asplmayr","1728"
"Caterina Assandra","1590"
"Charles Coypeau d'Assoucy","1605"
"Ignaz Assmayer","1790"
"Edwin Astley","1922"
"Félix Astol Artés","1813"
"Hugh Aston","1485"
"Emanuele d'Astorga","1680"
"Athenaeus","138 BC"
"Esmeralda Athanasiu-Gardeev","1834"
"Chet Atkins","1924"
"Ivor Atkins","1869"
"Pierre Attaingnant","1494"
"Kurt Atterberg","1887"
"Thomas Attwood","1765"
"Daniel Auber","1782"
"Jacques Aubert","1689"
"Louis Aubert","1877"
"Tony Aubin","1907"
"René Aubry","1956"
"Edmond Audran","1842"
